target_name,pathogen_binary,sampling_date,site_code,field_id,bombus_spp,host_plant,bee_caste,sampling_event,pathogen_load
BQCV,1,9/9/20,BOST,6,impatiens,solidago,worker,4,2414168.805
BQCV,1,9/10/20,MUDGE,18,impatiens,crown vetch,worker,4,760793.2324
BQCV,0,9/10/20,MUDGE,11,impatiens,crown vetch,worker,4,0
BQCV,0,9/9/20,BOST,11,impatiens,solidago,male,4,0
BQCV,1,9/10/20,CIND,14,impatiens,knot weed,worker,4,124236.7921
BQCV,1,9/10/20,MUDGE,4,impatiens,crown vetch,worker,4,413814.5638
BQCV,1,9/10/20,CIND,13,impatiens,red clover,worker,4,1028831.605
BQCV,1,7/7/20,BOST,38,impatiens,red clover,worker,2,307696378.8
BQCV,0,9/10/20,MUDGE,5,impatiens,crown vetch,worker,4,0
BQCV,1,9/9/20,BOST,12,impatiens,solidago,male,4,311873.0526
BQCV,0,9/9/20,BOST,18,impatiens,solidago,worker,4,0
BQCV,1,9/9/20,BOST,23,impatiens,solidago,male,4,1674951.391
BQCV,1,9/10/20,CIND,20,impatiens,red clover,worker,4,3214026.976
BQCV,1,9/10/20,CIND,11,impatiens,birdsfoot,worker,4,995592.63
BQCV,0,9/10/20,CIND,17,impatiens,red clover,worker,4,0
BQCV,1,9/10/20,CIND,16,impatiens,red clover,worker,4,200804.8542
BQCV,1,9/9/20,BOST,17,impatiens,solidago,worker,4,228085.8104
BQCV,1,9/9/20,BOST,7,impatiens,solidago,worker,4,7261151.315
BQCV,1,7/7/20,COL,22,impatiens,red clover,worker,2,817906.8276
BQCV,1,7/7/20,BOST,45,impatiens,red clover,worker,2,858658.6884
BQCV,1,7/7/20,BOST,46,impatiens,red clover,worker,2,1390213.258
BQCV,NA,9/10/20,CIND,19,impatiens,knot weed,worker,4,NA
BQCV,1,9/9/20,BOST,16,impatiens,solidago,worker,4,3847308.58
BQCV,1,9/9/20,BOST,10,impatiens,solidago,male,4,21802654.79
BQCV,1,9/9/20,BOST,20,impatiens,solidago,worker,4,4026207.454
BQCV,0,9/10/20,MUDGE,16,impatiens,crown vetch,worker,4,0
BQCV,1,9/10/20,MUDGE,2,impatiens,crown vetch,worker,4,3185000.456
BQCV,1,9/9/20,BOST,19,impatiens,solidago,worker,4,3473347.836
BQCV,0,9/9/20,BOST,5,impatiens,solidago,worker,4,0
BQCV,1,7/7/20,BOST,21,bimaculatus ,red clover,worker,2,5094918.618
BQCV,1,9/10/20,MUDGE,3,impatiens,crown vetch,worker,4,6633152.272
BQCV,1,9/10/20,CIND,5,impatiens,red clover,worker,4,1234024.118
BQCV,1,9/9/20,BOST,24,impatiens,solidago,male,4,7027623.46
